Arizona                           3   11          25              0        750   6   0 4 2 1 1     403400 392.1486913     215 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 1 1 1 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 1 1 1 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 A A A A A
Arizona                           3   11          26              0       2491  12   9 4 2 1 3     403400 134.4017488     215 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 2 2 1 2 2 2 2 2 1 1 2 2 2 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2 A A A A A
Arizona                           3   13          28              0       1200  12   9 4 1 2 3     409630 501.6499268     2 2 1 1 1 1 1 1 C C 2 1 4 4 4 4 3 4 4 A 2 2 1 1 1 1 2 2 2 2 1 2 1 2 1 1 1 2 2 2 2 2 2 2 2 2 2 1 1 1 1 2 1 2 2 1 2 2 2 1 2 2 A 2 2 2 2 2 1 2 2 2 2 1 2 1 1 1 2 2 2 2 1 2 2 2 2 2
Arizona                           3   14          29              1        200   8  -1 4 1 2 2     403450 179.2000566     2 2 1 1 1 2 2 1 1 2 2 1 4 4 4 4 3 4 4 A 2 2 2 2 2 2 2 2 2 1 2 1 1 1 1 1 2 2 2 2 2 2 2 1 1 2 2 2 2 1 1 2 1 2 1 2 1 2 2 1 2 2 A 2 2 2 2 2 1 2 2 2 2 1 2 2 2 1 1 2 2 2 1 1 1 1 1 2
Arizona                           3   15          30              1        518   8  -1 4 1 3 1     409630 359.6316975     2 2 1 1 1 1 1 1 1 2 1 1 4 4 4 4 3 4 2 1 2 2 1 2 1 2 1 2 2 2 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 1 2 1 1 2 2 1 2 2 2 2 2 2 2 2 A 2 2 2 2 2 2 2 2 2 2 1 2 1 2 1 2 2 2 2 2 A A A A A
Arizona                           3   15          31              1        150   8   0 4 1 3 2     409630 203.4277776     2 1 1 1 1 1 1 1 1 C 1 1 4 4 4 4 3 4 4 A 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 A 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 A A A A A
Arizona                           3   16          32              0        135  12   9 4 4 4 3     407920  67.4961108     1 1 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 C C C C C C C C C C C C C C C C C C C C C C C C C C C C 2 A A A A A
Arizona                           3   16          33              0         90   5   0 4 1 4 1     409630 215.3697236     250 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 A A A A A
Arizona                           3   16          34              0        100   5   0 4 1 4 1     403450 332.0095585     1 1 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 1 1 1 1 2 2 1 2 2 1 2 2 2 1 1 1 2 2 1 2 1 2 1 1 2 2 2 2 1 2 2 1 2 1 1 2 2 2 1 2 1 2 2 2 1 2 1 2 2 2 2 2 1 2 A A A A A
Arizona                           3   16          36              0        343  12   9 4 1 4 3     403450 207.3552026     250 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 2 2 2 2 2 2 1 2 2 2 2 1 2 1 1 2 2 2 2 1 2 2 2 2 1 1 1 2 2 2 2 2 2 1 2 2 2 1 2 1 2 1 2 1 2 2 1 1 1 2 3 2
Arizona                           3   16          38              1        266   9  -1 4 1 4 2     403450 200.6042815     2 1 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 1 1 2 1 1 2 2 1 2 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1 2 2 1 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 1 1 2 2 A A A A A
Arizona                           3   16          39              0        613  12   9 4 1 4 3     409630 224.1804567     2 1 A A A A A A A A A A A A A A A A A A A 2 1 1 1 2 2 2 2 1 1 2 1 C 1 1 1 2 2 1 1 1 2 1 1 2 2 1 2 2 2 1 1 1 2 1 1 1 2 1 2 1 1 1 1 2 1 2 1 1 2 2 2 1 1 C 1 1 2 2 2 1 2 A A A A A
Arizona                           3   16          40              1        117   8   0 4 1 4 2     403450 203.4277776     2 2 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 1 1 1 2 2 1 2 1 2 2 2 2 1 1 2 2 1 2 2 1 2 2 2 1 1 2 2 2 2 2 2 C 2 2 2 1 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 A A A A A
Arkansas                          4   17          41              0        275   6  -1 3 4 1 1     513350 245.6969630     2 1 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 1 1 2 1 1 2 2 1 2 2 2 2 2 2 2 2 1 2 1 1 2 2 2 2 2 2 2 2 2 1 2 1 1 1 2 1 2 2 2 2 2 2 1 2 1 2 1 2 2 2 2 2 A A A A A
Arkansas                          4   17          42              0        196   9   7 3 4 1 2     513350 150.1588279     2 1 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 2 1 2 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 1 2 1 2 1 2 2 2 2 2 A A A A A
Arkansas                          4   18          44              0        535  12   9 3 4 1 3     513350 143.4419919     1 3 A A A A A A A A A A A A A A A A A A A 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 1 1 2 2 C C C C C C C C C C C C C C C C C C C C C C C C C C C C 2 A A A A A
Arkansas                          4   19          46              0        305   8   5 3 4 1 2     513350 150.1588279     150 A A A A A A A A A A A A A A A A A A A C 2 2 2 2 2 2 2 2 2 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 2 1 2 1 1 2 2 2 2 2 2 2 2 2 2 2 C C C C C C C C C C C C C C C C C C C C 2 A A A A A
California                        5   20          49              0        101  12   9 4 2 1 3     620850 156.5940973     2 3 A A A A A A A A A A A A A A A A A A A 2 2 2 1 2 2 2 2 2 2 2 1 1 1 1 2 2 2 2 2 2 2 C C 1 2 1 2 2 2 1 2 1 2 2 2 2 2 2 2 2 1 1 C 1 C 2 1 C 1 2 2 1 2 1 2 1 2 1 1 1 2 A A A A A
California                        5   21          52              0        533   5   0 4 1 1 1     633240 527.7456627     2 1 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 1 2 1 1 1 1 1 1 2 1 2 2 2 1 2 2 1 2 2 2 1 1 2 2 1 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 1 1 1 2 1 2 1 2 1 2 2 2 2 1 2 1 1 1 2
California                        5   23          54              0       1001   8   6 4 2 1 2     637500 195.8385693     2 1 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 2 1 2 2 1 2 1 1 2 2 2 2 1 1 1 2 1 1 2 1 1 2 2 2 2 1 1 1 C 1 2 1 C 1 1 1 1 1 1 1 1 2 1 2 2 2 A A A A A
California                        5   23          56              0        626   5   0 4 2 1 1     637500 392.1486913     2 7 A A A A A A A A A A A A A A A A A A A C C C C C C C C 1 C 1 1 1 1 1 1 2 1 2 2 2 2 2 2 2 2 2 2 1 2 C C C 2 C 2 2 1 C C 1 1 C C 2 2 2 C 2 C C 2 1 2 1 2 2 1 2 2 1 2 A A A A A
California                        5   23          57              0        560   5   0 4 2 1 1     637500 392.1486913     2 3 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2 2 2 1 1 2 2 2 1 1 1 1 2 1 2 1 2 1 2 2 2 1 1 2 2 2 2 2 2 2 1 2 2 1 2 C 2 1 1 2 2 1 1 1 2 1 2 1
California                        5   23          58              0        677   8   6 4 2 1 2     637500 195.8385693     2 1 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 1 1 2 1 1 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 2 2 2 2 2 1 1 2 2 1 2 1 1 1 1 1 2 1 1 1 1 2 2 1
California                        5   23          59              0        882  12   9 4 2 1 3     637500 136.8381055     2 6 A A A A A A A A A A A A A A A A A A A 2 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 C 1 1 1 1 1 2 2 2 1 1 1 1 1 1 2 2 1 1 2 C 1 1 1 1 1 1 1 1 2 1 1 1 2 1 2 1 1 1 1 1 2 1 1 1 1 1 1 1
California                        5   25          61              1        250  12   0 4 1 1 2     635830 172.4408817     150 A A A A A A A A A A A A A A A A A A A 1 2 2 2 2 2 1 1 2 2 2 1 2 1 1 1 2 1 2 2 2 2 2 2 1 2 2 2 C C C 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 A A A A A
California                        5   30          68              0       1249   8   6 4 1 1 2     635370 224.2003371     215 A A A A A A A A A A A A A A A A A A A 2 2 2 1 2 2 2 2 2 2 2 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 2 1 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 C 2 2 2 2 2 2 2 A A A A A
California                        5   30          69              1       3869  12   7 4 1 1 3     635370 117.1459933     1 3 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 2 2 2 2 C C C C C C C C C C 2 2 2 2 2 2 2 2 2 2 2 A A A A A
California                        5   30          72              0        942   6  -1 4 1 1 1     635370 527.7456627     2 3 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 A A A A A
California                        5   30          73              0        366  12   9 4 1 1 3     635370 117.1459933     2 1 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 2 1 2 1 1 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 1 2 2 2 2 2 1 2 2 2 1 2 2 2 2 2 A A A A A
California                        5   32          77              1        399   8  -1 4 4 1 1     641220 299.1533943     2 C A A A A A A A A A A A A A A A A A A A C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C C
California                        5   33          80              0        666   5   0 4 2 1 1     627690 376.1430205     2 2 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 2 1 2 2 2 2 2 A A A A A
California                        5   33          82              0       2214  12   9 4 2 1 3     627690 143.6257489     2 3 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 1 1 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 2 1 1 2 2 1 1 1 2 2 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 1 1 3 2 2 2 2
California                        5   34          84              0        460   6   0 4 1 1 1     628650 527.7456627     2 3 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 A A A A A
California                        5   34          85              1        894   8   0 4 1 1 2     628650 162.8838149     215 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 3 2 2 2 2
California                        5   34          88              0       1000   8   7 4 1 1 2     628650 162.8838149     2 2 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 1 1 1 2 1 1 2 2 1 2 2 2 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 2 1 1 2 1 1 2 2
California                        5   36          90              0        584   8   6 4 4 1 2     641220 207.0269236     2 1 A A A A A A A A A A A A A A A A A A A 2 1 1 1 1 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 1 2 1 2 2 2 1 2 A A A A A
California                        5   37          91              0        327   8   6 4 4 1 2     641220 207.0269236     2 1 A A A A A A A A A A A A A A A A A A A 2 1 2 2 2 2 2 2 1 1 1 1 1 1 1 2 2 2 2 2 2 1 2 2 2 2 2 2 2 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 1 2 1 2 2 2 2 1 1 1 1 1 2 2 2
California                        5   38          92              0        104   6   0 4 3 1 1     691009 332.5481998     2 3 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 1 2 1 1 1 1 1 2 2 1 1 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 2 2 A A A A A
California                        5   39          93              0        958   5   0 4 4 1 1     641220 299.1533943     250 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 C 1 C C 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 C 2 C 3 C C C C
California                        5   40          94              1        689  12   9 4 2 1 3     633510 122.2022641     2 8 A A A A A A A A A A A A A A A A A A A 1 1 1 1 1 2 2 2 1 1 1 1 1 1 1 2 2 1 2 1 2 2 1 2 2 2 1 1 1 1 2 1 1 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 2 1 2 2 1 2 C 1 1 2 2 2 2 2 A A A A A
California                        5   41          95              1        679   5   0 4 1 1 1     634410 527.7456627     1 3 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 C C C C C C C C C C C C C C C C C C C C C C C C C C C C 2 A A A A A
California                        5   41          96              1        672   8   0 4 1 1 2     634410 236.6434909     2 1 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 2 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 1 1 1 2 2 2 2 1 1 1 2 1 2 1 2 1 2 2 2 2 2 A A A A A
California                        5   41          97              1        241   8   0 4 1 1 2     634410 236.6434909     2 2 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 2 2 2 1 2 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 A A A A A
California                        5   41          98              0        245  12   9 4 1 1 3     634410 130.1358699     2 1 A A A A A A A A A A A A A A A A A A A 2 2 2 1 2 2 2 2 2 2 1 1 1 1 1 1 2 1 2 2 1 2 2 2 1 2 1 1 1 1 2 2 1 2 2 2 2 2 2 2 2 1 1 1 2 1 2 1 1 1 2 2 1 2 1 1 1 2 2 2 2 2 A A A A A
California                        5   41         100              0        744  12   9 4 1 1 3     634410 130.1358699     111 A A A A A A A A A A A A A A A A A A A 2 2 2 2 2 2 2 2 1 1 2 1 2 2 2 1 2 1 2 2 2 1 2 2 2 1 1 2 1 1 1 2 2 2 1 1 1 2 2 1 1 1 2 2 2 2 2 2 2 1 2 2 1 1 1 2 1 2 2 2 1 1 2 2 1 1 2
California                        5   42         101              0        369   5   0 4 3 1 1     635730 305.8373661     250 A A A A A A A A A A A A A A A A A A A C C C C C C C C C C C 1 1 1 1 C 2 1 C C C C 1 1 C C C 1 2 C C C 2 2 2 2 2 2 2 2 2 2 C C C C C C C C C 2 2 2 C C C C C 2 C 2 A A A A A
California                        5   42         102              0       1054   8   6 4 3 1 2     635730 156.6068466     250 A A A A A A A A A A A A A A A A A A A C C C C C C C C C C C 1 1 1 1 C 2 1 C C C C 1 1 C C C 1 2 C C C 2 2 2 2 2 2 2 2 2 2 C C C C C C C C C 2 2 2 C C C C C 2 C 2 A A A A A
