Illinois                         14   85         221              157.7922091           0   312    12     9     2     4     1     3    1737470 157.2407615         22101   2   1  23   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   5   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   8   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   4   1   1   1   1   2   1   2   2   2   2   2   2   1   1   1   1   1   1   1   1   4   1   1   1   1   2   2   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   2   1   2   2   2   A   A   A   A   A   A   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   4   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   A   A   A   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   4   2   2   2   1   1   1   1   1   1   1   A   1   1   1   1   1   1   1   1   1   1   5   1   2   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   3   4   4   4   3   3   2   3   4   1   3   2   1   A   A   A   A   A   A   A   A   A   1   1   1   1   1   2   2   1   2   1   2   1   1   2   2   1   1   2   2   1   1   1   1   A   A   A   A   A   A   A   1   1   1   2   1   1   1   1   1   7   2   1   1   1   1   2   2   2   2                                                                1   2   2   2   2   2   1history                                                         2   A   A   A   A   A   A                                                                1   1   1   2   2   2   2   2   2   1   1   2   1   1   1   1   1   1   1   2   2   2   2   1   1   2   1   2   2   2   2   2   2   2   2   1   1   1   2   2   1   1   2   1   1   1   2   1   2   2   2   2   1   1   2   2   2   2   2   2   2   2 2
Illinois                         14   88         225              302.8571769           1   597     8     0     2     1     1     2    1714820 302.8571769         22501   1   C   C   2   2   1   2   2   2   2   2   2   2   2   1   1   2   2   1   1   2   1   1   2   2   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   C   C   C   C   C   C   C   C   C   C   A   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   1   1   1   1   2   2   2   3   2   1   2   2   1   1   2   2   1   1   2   A   A   A   A   A   A   A   A   A   2   1   2   1   2   2   2   2   2   2   2   2   1   1   2   1   2   2   2   2   2   2   1   A   A   A   A   A   A   A   2   A   A   A   A   A   A   A   A  14   2   2   1   2   2   2   2   1   2                                                                2   A   A   A   A   A   A                                                                1   2   2   1   2   2   2                                                                1   1   2   2   2   2   1   2   2   2   2   2   2   2   2   2   1   2   2   2   2   1   2   2   2   2   2   1   2   2   1   2   2   1   2   2   1   1   1   2   1   2   2   1   2   2   2   1   2   2   2   2   2   2   2   2   2   2   1   2   2   2 2
Illinois                         14   88         226              302.8571769           1   217     8     0     2     1     1     2    1714820 302.8571769         22601   2   2  40   2   1   2   1   2   2   2   2   2   2   2   1   2   2   2   1   1   1   1   1   1   1   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   2   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   1   1   1   2   1   2   1   2   2   2   2   2   2   2   2   1   1   1   2   2   2   2   1   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   2   1   2   2   2   2   2   2   2   A   2   2   2   2   2   2   2   2   2   2   0   1   1   2   2   2   1   2   2   1   1   2   1   2   2   1   2   2   2   2   2   2   2   3   4   3   2   2   2   2   2   4   1   1   2   2   A   A   A   A   A   A   A   A   A   2   3   1   1   2   2   2   2   2   2   2   2   2   2   2   2   1   2   2   1   1   2   2   A   A   A   A   A   A   A   2   A   A   A   A   A   A   A   A   2   2   2   1   1   1   2   2   2   2                                                                2   A   A   A   A   A   A                                                                2   A   A   A   A   A   A                                                                1   1   1   1   2   2   2   1   1   1   1   1   2   2   2   2   2   2   2   2   2   2   1   2   2   1   2   2   1   1   2   1   2   2   2   2   2   2   2   2   2   2   1   1   2   2   2   2   1   1   1   1   1   1   1   1   1   1   2   1   2   2 2
Illinois                         14   88         229               76.9445924           0   427    12     9     2     1     1     3    1714820  76.6756887         22901   2   2  30   2   2   1   1   2   2   2   2   2   2   2   1   1   1   1   1   1   1   2   1   1   1   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   2   2   2   2   1   2   2  10   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   2   1   1   1   1   1  10   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   C   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   C   C   C   C   C   2   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   C   C   C   2   2   2   C   C   C   C   A   C   C   C   C   C   C   C   C   C   C   C   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   2   1   1   1   2   4   4   4   3   3   2   3   4   4   4   4   2   A   A   A   A   A   A   A   A   A   1   1   1   1   1   2   2   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   A   A   A   A   A   A   A   2   A   A   A   A   A   A   A   A  10   2   1   1   2   1   2   2   2   1bus admin                                                       1   2   2   2   2   2   1international bus                                               1   2   2   2   2   2   1social worker                                                   2   2   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   2   2   1   1   1   1   1   2   2   2   1   1   1   2   1   1   1   1   1   1   1   1   1   2   1   1   1   1   2 2
Illinois                         14   89         231              251.4577950           0   466     6     5     2     2     1     2    1741820 251.4577950         23101   2   1  20   2   2   1   2   2   2   2   2   2   2   2   1   1   2   2   1   1   1   2   2   1   1   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   2   2   2   1   1   2   1   1   1   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   2   2   1   3   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   2   2   1   2   2   2   1   1   1   2   A   2   2   2   2   2   2   1   1   2   2   5   2   2   2   1   2   2   2   1   2   2   2   2   2   1   1   2   2   2   1   2   1   1   4   4   4   3   3   1   3   3   4   1   3   4   1   A   A   A   A   A   A   A   A   A   2   3   2   2   1   2   2   2   2   2   2   1   1   2   1   1   1   1   2   1   1   1   2   A   A   A   A   A   A   A   1   1   1   1   1   1   1   1   1  15   2   2   1   2   2   1   2   2   2                                                                1   2   2   2   2   2   1Reading Strategies                                              1   2   2   1   2   2   2                                                                1   1   2   1   1   2   1   2   2   1   1   2   1   1   1   2   2   2   2   1   1   1   2   2   2   2   2   1   1   1   2   2   1   2   2   1   2   2   1   1   2   2   1   1   2   2   1   1   1   1   2   1   1   1   1   1   1   2   2   2   1   2 2
Illinois                         14   89         232              377.6628522           0   583     2    -1     2     2     1     1    1741820 396.2684155         23201   2   A  23   2   2   1   1   2   2   2   2   1   2   1   1   2   2   2   2   1   2   2   2   2   2   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   1   2   2   1   1   1   2   2   2   2   2   A   2   2   1   1   2   A   A   2   2   2   2   2   2   2   2   2   2   1   1   2   1   2   1   2   1   1   1   2   A   A   A   A   2   2   2   2   2   2   2   2  11   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   2   A   1   1   1   2   2   2   2   2   1   2   2   1   2   1   2   2   2   2   1   2   2   2   2   6   C   2   2   2   2   2   2   2   2   2   2   2   2   0   2   1   1   1   2   1   1   1   A   A   A   A   A   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   2   A   2   2   2   2   2   2   2   2   2   1   2   2   2   2   2   4   2   2   2   2   1   2   2   2   2   1   2   1   2   2   1   2   2   2   2   2   2   2   1   1   2   1   1   1   1   1   1   1   1   2   1   A   A   A   A   A   A   A   A   A   2   2   2   2   1   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   2   2   2   2   1   2   1   2   1   1   1   1   1  19   2   2   1   2   1   2   2   2   2                                                                1   1   2   2   2   2   2                                                                1   2   2   1   2   2   2                                                                1   1   1   A   2   2   2   1   2   2   2   2   1   2   2   1   2   2   2   1   2   1   2   2   2   2   2   2   2   1   2   2   1   2   2   1   2   2   2   2   2   2   1   1   2   2   2   2   2   1   2   1   2   2   2   2   2   2   2   2   2   2 2
Illinois                         14   90         233               67.4460036           0  2588    12     9     2     2     1     3    1741820  67.2102952         23301   2   1  23   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   4   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1   1   1   1   1   2   2   1   1   1   1   1   1   1   1   1   3   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1   3   1   1   1   1   1   1   6   2   1   2   2   2   2   A   A   A   A   A   A   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1   1   1   1   1   1  11   1   1   1   A   A   A   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  11   1   1   1   2   1   1   1   2   2   2   A   1   1   1   1   1   1   1   1   1   1   5   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   3   4   4   3   2   1   3   3   4   1   3   4   1   A   A   A   A   A   A   A   A   A   1   1   2   1   1   2   2   2   2   2   2   1   1   1   1   1   1   1   2   1   1   1   2   A   A   A   A   A   A   A   1   1   2   2   1   1   1   1   2  23   2   2   1   1   2   2   2   2   2                                                                1   2   1   2   2   2   2                                                                1   1   1   2   2   2   2                                                                2   1   1   2   1   1   1   1   2   1   1   1   1   1   1   1   2   2   2   1   1   1   1   1   1   1   1   2   2   1   2   2   1   2   2   1   1   1   1   1   2   2   1   1   1   1   1   1   1   1   1   1   1   2   2   1   1   1   1   1   1   2 2
Illinois                         14   90         234               67.4460036           0  2338    12     9     2     2     1     3    1741820  67.2102952         23401   2   1  29   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1  11   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   3   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   2  11   1   1   1   1   1   1   1   1   1   1   1   1   2   2   1   2   2   2   2   2   2   2   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   6   1   1   1   1   1   1   1   1   6   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   5   2   2   2   2   1   2   A   A   A   A   A   A   1   2   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   2   2   1   1   1   1   2   5   1   1   1   1   1   1   1   1   1   1   1   1   1   5   1   1   1   A   A   A   1   1   2   2   1   1   2   1   1   2   2   1   2   2   2   2   2   2   2   2   2   1   2   2   2   2   2   2   2   2   2   2   1   2   1   A   2   2   2   2   2   2   1   2   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   2   2   3   4   4   2   1   2   2   3   4   1   3   3   1   A   A   A   A   A   A   A   A   A   1   1   1   1   1   2   1   2   2   2   2   2   2   1   2   1   1   2   2   2   1   1   2   A   A   A   A   A   A   A   1   1   2   2   1   1   1   1   2  16   2   1   1   1   2   2   2   2   2                                                                1   2   2   2   2   2   1Nutrition                                                       1   2   1   2   2   2   2                                                                1   1   1   1   1   1   1   1   2   2   2   2   1   1   1   1   1   1   2   2   2   1   2   2   2   2   2   1   2   2   2   2   2   1   2   1   2   1   1   2   2   2   2   1   1   1   2   1   2   2   1   2   2   2   2   2   2   2   2   2   2   2 2
Illinois                         14   91         235              416.1491813           1   361    12     6     2     3     1     3    1738130 414.6948353         23501   2   1  19   1   1   1   1   1   1   1   1   1   2   1   1   2   1   1   1   2   1   1   1   2   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  11   1   1   1   2   2   2   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   3   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  10   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  10   1   1   1   1   1   1   1   2   1   1   2   1   1   1   1   1   1   1   1   1   6   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   2   2   1   1   1   1   1   1   4   2   2   1   2   1   1   1   2   1   1   2   2   2   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   2   1   1   1   1   1   1   1   1   3   1   1   2   1   1   2   1   1   1   1   1   1   1   2   1   1   1   A   A   A   1   1   1   2   2   2   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   4   2   2   1   1   2   2   1   1   2   1   A   2   2   1   1   1   1   1   1   1   1   3   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   3   4   3   3   3   1   1   3   3   1   3   3   1   A   A   A   A   A   A   A   A   A   2   3   2   1   1   2   2   2   1   2   2   2   1   1   2   1   2   2   2   1   1   1   2   A   A   A   A   A   A   A   1   1   1   1   1   2   1   1   1   3   2   1   1   2   2   2   2   2   1kinesology                                                      2   A   A   A   A   A   A                                                                2   A   A   A   A   A   A                                                                2   1   1   2   2   2   1   1   2   2   2   2   2   2   1   1   2   2   2   1   2   2   2   2   2   1   1   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   1   2   1   2   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2 2
Illinois                         14   92         238               67.4460036           0   856    12     9     2     2     1     3    1738400  67.2102952         23801   2   1  30   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   8   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   2   1   1   2   5   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   2  11   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   2   1   1   1   2   1   1   8   1   1   1   2   1   1   1   1   1   1   1   2   2   1   1   1   1   1   1   1   6   1   1   1   1   1   1   1   1   4   1   1   1   1   1   2   1   1   3   1   1   1   1   1   1   3   2   2   1   2   1   1   1   1   1   2   2   2   1   1   1   2   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1  11   1   1   1   1   1   2   1   1   1   1   1   1   1   2   2   1   1   A   A   A   1   1   2   1   1   1   2   2   2   2   1   2   2   2   2   1   1   1   1   2   1   1   1   2   2   2   2   2   2   2   1   1   2   2   2   A   2   2   2   2   1   1   1   1   1   1   1   2   2   1   2   1   2   2   1   1   1   1   1   2   1   1   1   2   2   2   2   1   2   4   4   4   3   2   2   2   2   3   1   2   2   1   A   A   A   A   A   A   A   A   A   1   1   2   2   1   2   2   2   2   2   2   1   1   1   2   1   1   2   2   1   1   1   1   A   A   A   A   A   A   A   1   2   2   2   1   1   1   1   1   6   2   1   1   2   1   2   2   2   2                                                                1   1   2   2   2   2   2                                                                1   2   2   2   2   2   1educational leadership                                          2   2   1   2   2   2   1   1   2   2   2   2   2   2   2   2   2   1   2   2   2   1   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   2   1   2   2   2   1   2   2   1   2   2   1   2   1   2   2   2   2   2   2   2   1   2   2   2 2
Illinois                         14   93         239              162.2981807           0    78    12     9     2     3     1     3    1738130 161.7309858         23901   2   1  20   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   8   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   8   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1  11   1   1   1   1   1   1   1   1   5   1   1   1   1   1   1   5   2   2   2   2   1   2   A   A   A   A   A   A   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   5   1   1   1   1   1   1   1   1   1   1   1   1   1   3   1   1   1   A   A   A   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   3   1   1   1   2   2   2   2   1   1   1   A   1   1   1   1   1   1   1   1   1   1   3   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   4   3   3   3   3   3   3   1   3   1   3   3   3   A   A   A   A   A   A   A   A   A   1   3   1   1   1   1   1   2   2   1   1   2   2   2   2   2   1   2   2   1   1   2   1   A   A   A   A   A   A   A   2   A   A   A   A   A   A   A   A   7   2   1   1   1   2   2   2   2   2                                                                2   A   A   A   A   A   A                                                                2   A   A   A   A   A   A                                                                2   1   1   2   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   1   2   1   1   1   1   1   1   1   1   2   1   1   2   2   2   2   2   2   2   2   2   2   1   2   2 2
Illinois                         14   95         241              333.8334160           0   423     5     0     2     4     1     1    1743200 350.2797218         24101   2   A  85   1   1   1   1   2   2   2   2   1   2   1   1   1   1   2   1   1   1   1   1   1   2   1   1   1   2   1   1   1   1   1   1   2   1   2   2   1   2   1   2   1   1   2   2   1   1   1   1   1   2   2   2   1   1   1   2   1   1   1   2   1   1   2   1   2   1   1   1   2   2   1   1   1   1   1   2   1   2   1   1   1   1   2   2   A   2   1   1   1   1   A   A   1   1   1   1   1   2   2   2   2   1   1   1   1   2   2   1   1   1   1   2   1   A   A   A   A   1   1   2   1   1   2   2   2   3   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   2   A   2   1   1   2   1   2   C   2   1   1   2   1   1   1   C   1   2   2   2   2   2   2   2   3   C   C   C   C   C   C   C   C   C   C   C   C   C   C   1   1   1   1   1   1   1   1   A   A   A   A   A   2   1   1   1   1   1   2   1   2   2   1   2   2   1   2   1   2   3   1   1   1   2   1   A   1   2   2   2   1   1   1   1   2   2   2   1   1   2   2   3   1   1   2   2   1   1   1   2   1   1   1   1   1   1   1   2   1   1   2   1   2   1   4   4   3   3   2   3   2   1   4   1   1   3   1   A   A   A   A   A   A   A   A   A   1   2   2   1   1   2   2   2   2   1   1   2   1   2   2   1   2   2   2   1   1   1   2   C   C   C   C   C   C   2   1   1   1   2   1   1   1   1   1   8   2   2   1   2   1   2   2   2   2                                                                2   A   A   A   A   A   A                                                                1   2   2   2   2   2   1CURRICULUM & INSTRUCTION                                        3   1   2   A   1   2   1   1   2   2   2   2   1   2   2   2   1   2   1   1   2   2   2   2   2   2   2   1   2   1   2   2   2   2   2   1   2   2   1   2   2   2   1   1   1   1   1   1   1   2   2   2   2   2   2   1   1   2   2   2   2   2 2
Illinois                         14   95         241              333.8334160           0   423     5     0     2     4     1     1    1743200 350.2797218         24102   2   A  80   1   1   1   1   2   1   2   2   1   2   1   1   1   1   1   1   1   1   1   1   1   2   1   1   1   2   1   1   1   1   1   1   1   1   2   1   1   2   1   2   1   1   1   1   1   2   1   1   1   2   2   2   1   1   1   2   1   1   1   2   1   1   2   1   2   1   1   1   1   1   1   1   2   1   1   1   1   1   1   1   1   1   1   1   A   1   1   1   1   1   A   A   1   1   1   1   1   1   2   2   2   2   1   1   1   1   1   1   1   1   1   2   1   A   A   A   A   1   1   2   1   1   2   2   2   4   2   2   2   2   2   A   A   A   A   A   A   A   2   2   2   2   2   2   2   2   0   A   A   A   A   A   A   A   A   A   2   2   2   2   2   2   2   2   0   A   A   A   A   A   A   A   C   C   C   C   C   C   C   C   C   C   C   C   1   A   1   1   1   1   1   1   2   1   1   1   1   1   1   1   C   1   2   2   2   2   1   1   2   4   C   C   C   C   C   2   C   C   C   C   C   C   C   0   1   1   1   1   1   1   1   1   A   A   A   A   A   2   1   1   1   1   1   1   1   1   2   1   2   1   2   1   1   2   4   1   1   1   2   1   A   1   1   2   1   1   1   1   1   2   2   2   1   1   1   2   4   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   2   1   1   2   1   2   1   4   4   3   3   2   3   2   1   4   1   1   3   1   A   A   A   A   A   A   A   A   A   1   2   1   1   1   2   2   2   2   1   1   2   1   2   2   1   2   2   2   1   1   1   2   C   C   C   C   C   C   2   1   1   1   2   1   1   1   1   1   8   2   2   1   2   1   2   2   2   2                                                                2   A   A   A   A   A   A                                                                1   2   2   2   2   2   1currilulum and instructions                                     3   1   2   A   1   2   1   1   2   2   2   2   1   2   2   2   1   2   1   1   2   1   2   2   2   2   2   1   2   1   2   2   2   2   2   1   2   2   1   2   2   2   1   1   1   1   2   1   1   2   2   2   2   2   2   1   1   2   2   2   2   2 2
Illinois                         14   95         242              167.1892966           0   809     8     6     2     4     1     2    1743200 250.7839450         24201   2   2  36   2   2   1   1   2   2   2   2   2   2   2   2   2   2   1   1   1   2   2   2   1   2   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   2   2   2   2   2   2   2   2   1   1   1   1   1   1   1   1   1   1   1   2   1   1   2   2   1   1   2   2   6   1   1   1   1   1   1   1   1   1   1   2   1   1   1   1   2   2   2   2   2   2   2   1   3   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   A   2   1   1   1   1   2   2   2   2   2   2   2   2   1   1   1   1   2   2   1   1   1   4   4   3   3   1   1   2   4   4   1   1   3   1   A   A   A   A   A   A   A   A   A   2   1   2   2   2   2   2   2   2   2   2   2   1   1   2   1   2   2   2   1   1   2   2   A   A   A   A   A   A   A   1   2   1   2   1   2   1   1   1  20   2   1   C   C   C   C   C   C   C                                                                C   C   C   C   C   C   C                                                                C   C   C   C   C   C   C                                                                2   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   1   2   2   2   2   2   1   1   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   2   2   2   2   2   2   2   2   2   1 2
